vin_min,vin_max,vout_target,efficiency_target,power_in
45.33,187.85,63.02,0.84,359.33
15.56,179.16,59.91,0.79,202.63
21.85,114.7,57.34,0.88,146.38
44.84,559.09,75.77,0.83,239.32
26.01,107.52,74.72,0.93,183.35
9.49,179.67,81.06,0.76,223.29
3.84,30.33,12.7,0.81,157.48
32.97,402.23,75.01,0.9,471.01
21.35,129.81,36.56,0.82,458.9
10.19,153.25,54.28,0.91,193.95
21.14,162.73,60.93,0.88,98.74
21.15,132.5,25.96,0.81,99.01
14.12,168.29,71.75,0.94,153.74
27.37,444.56,81.68,0.86,50.33
29.1,456.68,61.73,0.93,378.08
29.32,417.49,60.08,0.91,462.99
27.82,69.64,47.87,0.93,122.06
50.8,417.42,98.41,0.91,430.29
6.69,79.34,28.8,0.8,329.51
24.52,132.22,31.07,0.87,367.82
4.34,48.52,29.32,0.8,104.13
24.91,486.96,60.75,0.76,380.98
6.55,31.91,23.57,0.96,63.03
25.68,495.64,60.58,0.93,295.01
58.73,200.9,89.32,0.94,377.27
6.01,131.21,56.15,0.84,23.9
53.8,142.03,76.1,0.98,184.69
8.05,91.54,62.13,0.84,168.43
39.94,347.65,84.17,0.87,287.72
5.06,37.36,22.97,0.95,164.55
23.86,469.38,64.71,0.88,95.99
3.59,23.08,8.95,0.76,133.91
15.72,95.02,55.98,0.8,229.94
12.63,141.49,21.25,0.77,40.39
6.43,14.89,11.09,0.95,114.33
16.59,126.42,71.26,0.78,179.1
11.75,198.46,99.46,0.92,50.6
31.64,508.84,51.24,0.77,245.77
45.59,81.17,56.24,0.97,75.28
47.96,534.69,67.96,0.8,453.86
22.15,413.57,57.61,0.94,460.03
14.28,89.47,35.31,0.82,314.44
27.91,259.56,71.27,0.76,181.87
7.71,32.55,26.79,0.83,464.27
1.83,34.88,17.83,0.79,318.88
44.64,571.19,76.53,0.96,365.94
21.27,142.22,39.64,0.95,331.03
29.09,160.8,42.05,0.91,201.11
6.29,97.22,13.09,0.8,203.8
28.33,505.43,81.7,0.93,417.72
7.75,96.44,58.2,0.81,499.09
45.22,152.14,64.85,0.76,467.49
7.53,58.44,21.97,0.88,66.02
36.09,90.21,48.25,0.85,275.08
18.91,167.86,99.26,0.92,257.16
31.57,329.73,68.58,0.92,453.68
40.2,214.41,54.06,0.84,461.0
33.5,589.36,68.15,0.98,419.12
4.4,17.94,10.72,0.8,208.09
7.96,65.06,33.63,0.9,235.74
21.02,136.78,26.81,0.89,296.63
10.03,135.59,96.89,0.88,148.36
17.15,227.98,38.6,0.79,110.81
29.91,338.4,67.79,0.81,333.48
7.63,77.89,12.25,0.9,381.84
4.8,56.79,36.11,0.92,159.33
7.78,62.07,31.93,0.88,198.57
47.93,409.96,84.72,0.8,227.01
9.12,85.11,59.04,0.93,150.16
22.18,163.14,66.21,0.78,454.72
26.54,142.96,76.78,0.93,189.88
3.54,16.64,7.54,0.91,211.61
46.38,572.02,73.66,0.89,377.34
43.54,430.64,57.19,0.9,400.54
16.04,220.94,34.4,0.78,320.92
35.7,78.09,55.56,0.8,330.68
4.44,46.8,12.38,0.84,296.12
6.03,91.13,52.54,0.88,461.77
31.26,295.8,55.39,0.77,245.25
45.04,725.46,98.3,0.8,88.82
9.74,122.72,86.31,0.94,475.86
3.73,75.82,37.01,0.92,42.44
6.99,78.72,40.43,0.8,319.8
45.4,637.64,94.54,0.98,388.49
15.18,214.44,33.44,0.92,91.22
5.66,103.67,14.62,0.78,223.63
49.64,574.99,60.08,0.89,355.02
5.68,33.83,19.94,0.92,230.38
2.96,11.71,8.03,0.91,314.82
26.47,341.37,55.55,0.85,442.99
4.79,39.74,9.46,0.88,238.53
7.69,173.83,64.59,0.87,498.72
18.95,60.4,38.08,0.92,119.1
13.05,33.49,19.77,0.92,62.79
