vin_min,vin_max,vout_target,efficiency_target,power_in
8084.32,11861.81,17.84,0.87,44.12
5355.23,6268.23,47.66,0.83,497.75
20537.68,26616.99,64.19,0.85,278.55
19832.44,25620.42,62.95,0.86,122.1
49566.06,54963.12,75.07,0.9,106.67
64711.93,70657.17,85.07,0.75,82.95
24022.08,32766.59,33.6,0.83,201.29
62008.49,71793.16,91.24,0.92,163.41
25220.78,32283.54,58.57,0.89,46.28
8203.11,10548.67,54.64,0.79,98.16
29881.7,33828.58,98.57,0.95,428.01
5590.26,7869.09,48.13,0.97,498.78
7511.05,9662.37,54.64,0.8,261.1
1388.09,1640.28,7.78,0.81,265.27
13651.9,19371.44,66.95,0.9,239.4
13340.89,19716.15,69.32,0.82,396.42
5357.05,6882.59,25.96,0.77,67.64
6763.19,8556.21,40.34,0.84,45.29
7380.5,9634.59,14.14,0.8,493.31
13822.77,15893.76,18.29,0.9,300.6
21269.02,27550.27,68.38,0.87,418.03
9518.76,11143.1,52.55,0.81,26.03
84213.07,96900.03,97.51,0.94,303.98
18784.46,22939.39,34.79,0.78,334.73
14556.05,20105.18,72.53,0.81,221.71
31047.33,32851.85,51.51,0.88,34.5
78679.04,87139.95,89.14,0.78,71.0
34925.87,38205.89,58.9,0.84,418.42
11865.93,14068.04,53.03,0.93,155.39
9505.1,11936.87,22.04,0.81,66.56
30715.05,40973.67,41.26,0.96,138.83
4317.05,6311.85,11.81,0.84,296.36
17397.67,21506.88,55.08,0.89,486.87
8033.85,9442.0,18.15,0.88,16.15
15494.89,17755.29,21.8,0.96,493.76
34857.17,41846.08,47.46,0.82,192.98
14721.95,15558.49,25.36,0.92,380.66
5098.51,7083.05,45.73,0.83,321.63
19623.98,28259.97,85.88,0.92,453.97
17947.95,21025.94,37.81,0.8,257.51
8921.37,10073.08,10.58,0.8,303.86
4010.31,5008.18,14.0,0.92,343.34
88881.22,103449.16,99.5,0.82,177.89
3421.14,4174.19,14.99,0.94,360.51
14422.25,17454.63,35.16,0.87,28.15
79745.84,86940.25,84.29,0.84,263.7
59279.15,69536.25,95.66,0.78,382.91
26464.76,29734.67,66.9,0.81,138.11
20702.28,25256.53,77.05,0.83,152.75
7394.89,8577.63,26.43,0.86,201.3
42366.04,50205.35,73.93,0.76,228.37
35088.18,48231.72,59.75,0.85,347.82
40352.12,56410.42,70.52,0.94,130.82
3865.22,4659.82,15.09,0.96,461.61
15531.32,17157.79,54.9,0.89,472.49
6032.64,7099.4,30.82,0.76,34.75
39008.5,49285.6,72.49,0.9,143.27
24495.67,25350.04,58.65,0.81,469.12
75007.12,90291.43,97.77,0.97,108.68
14052.39,15999.73,50.87,0.83,482.7
36296.91,43051.32,67.77,0.97,233.35
4781.12,6332.13,49.0,0.87,280.51
10445.72,13209.27,15.34,0.77,308.32
67859.89,95099.4,98.47,0.85,446.25
63894.61,74133.29,88.56,0.97,122.2
58801.97,62685.82,67.73,0.76,85.05
30618.88,41434.19,73.48,0.85,78.79
40668.1,47827.61,82.14,0.76,474.28
6866.05,8828.13,18.07,0.75,388.02
22402.1,24931.84,96.92,0.97,315.32
36224.48,38908.73,37.63,0.97,26.57
29018.73,35894.19,71.79,0.96,478.75
73286.02,85858.66,82.89,0.92,472.25
8994.44,12375.65,48.22,0.86,146.76
16123.72,18874.11,26.34,0.83,115.05
19791.31,26458.84,43.3,0.9,429.41
88785.74,98271.32,95.42,0.84,231.53
8374.34,9339.91,39.23,0.79,481.86
32210.16,37602.35,42.64,0.92,139.41
28117.95,30746.23,54.98,0.83,143.77
15938.4,18863.97,66.35,0.86,35.62
12362.61,17614.6,64.04,0.93,398.31
92169.05,94191.44,98.1,0.85,116.51
4102.58,5139.43,33.22,0.81,191.93
62732.01,85359.5,86.26,0.95,171.68
14730.75,17156.55,35.19,0.85,29.3
14636.85,19408.5,32.02,0.97,355.44
12813.14,15383.44,52.09,0.89,413.02
27237.52,34203.6,76.8,0.78,406.06
23252.05,27349.95,26.93,0.82,178.9
46349.84,59689.75,57.29,0.93,243.76
8318.71,9108.79,27.4,0.83,182.77
9312.47,13310.67,70.66,0.82,403.17
65854.73,81267.4,82.52,0.84,204.88
22084.04,27228.08,91.77,0.85,318.07
2167.66,2846.43,9.35,0.8,73.66
31372.44,39175.52,35.55,0.93,180.86
45568.09,55980.44,65.91,0.8,147.05
22898.26,27415.54,90.62,0.88,65.54
1259.43,1401.31,7.02,0.92,139.86
17219.69,19676.57,37.89,0.97,218.33
26011.83,29010.68,32.88,0.89,140.95
14799.85,15262.99,77.24,0.9,380.91
12556.23,15057.0,23.3,0.76,439.35
47545.19,56070.37,98.64,0.75,108.24
38232.86,44228.73,60.98,0.97,278.95
28872.81,34215.74,42.59,0.89,125.62
11081.25,12735.07,16.38,0.87,393.66
26799.49,31745.02,30.58,0.97,465.48
17870.84,20487.82,37.05,0.81,94.38
23164.75,26726.97,34.04,0.84,253.52
42774.04,56296.2,91.64,0.8,327.17
18101.28,22355.91,53.31,0.82,177.68
21387.37,24015.51,87.45,0.75,233.45
4098.86,5425.86,18.69,0.87,114.96
30306.31,38328.89,43.57,0.9,184.25
18125.68,25916.02,94.6,0.92,177.1
14504.39,17297.4,25.18,0.88,441.98
8370.12,10771.41,89.95,0.78,53.51
15246.49,18680.9,49.21,0.94,144.69
79227.07,85246.55,86.54,0.89,15.22
87639.93,114796.41,97.88,0.78,67.51
13860.07,15297.61,86.55,0.98,430.73
21261.51,28921.62,43.7,0.85,144.39
57723.09,70381.77,89.71,0.89,136.61
20902.2,23019.79,64.49,0.79,441.07
49241.39,63322.17,64.59,0.88,394.08
46153.59,57237.52,94.11,0.78,157.77
49448.92,65797.26,86.31,0.9,39.43
6845.31,7879.75,63.0,0.8,436.33
