vin_min,vin_max,vout_target,efficiency_target,power_in
27.14,33.76,128.83,0.89,260.93
88.37,112.41,773.22,0.78,201.63
37.07,48.38,201.13,0.96,211.06
26.44,35.21,181.6,0.92,196.67
69.59,87.76,450.22,0.77,52.01
45.0,54.73,279.47,0.89,454.79
21.31,25.82,59.81,0.81,449.83
50.7,67.04,397.79,0.91,98.6
82.17,99.2,444.81,0.76,330.73
63.56,73.43,110.04,0.92,38.89
36.26,43.22,114.98,0.78,281.17
30.75,40.29,84.48,0.91,452.41
48.53,56.28,234.32,0.76,391.12
92.39,104.74,674.56,0.85,153.11
69.19,81.47,529.25,0.89,383.8
51.2,60.87,154.26,0.87,171.81
41.03,57.55,411.56,0.82,472.23
72.22,82.09,341.59,0.93,492.46
11.15,14.85,64.03,0.91,26.34
40.5,48.43,309.89,0.95,324.13
12.56,18.23,40.04,0.85,345.87
75.5,97.49,240.85,0.77,46.57
85.31,88.72,377.32,0.8,459.9
74.85,98.4,846.81,0.78,385.9
56.88,63.73,264.43,0.95,113.49
79.26,100.35,417.67,0.97,62.64
72.47,77.36,304.01,0.89,422.28
81.37,105.73,539.44,0.8,347.13
77.33,88.82,408.64,0.76,170.21
3.38,4.0,6.49,0.9,48.23
86.95,92.35,732.61,0.9,225.79
53.92,61.06,450.8,0.81,452.38
33.14,42.68,287.07,0.9,36.96
74.25,101.52,335.83,0.85,322.06
30.93,38.49,282.19,0.78,217.99
61.48,70.7,378.85,0.86,468.39
47.69,53.29,477.81,0.88,363.4
60.1,75.59,191.57,0.8,176.13
9.13,10.14,16.27,0.75,246.24
60.43,71.63,346.78,0.76,280.42
27.69,31.09,270.67,0.79,200.22
5.41,6.81,13.04,0.89,159.17
70.55,83.5,438.61,0.95,432.81
22.33,32.08,265.66,0.91,257.65
79.5,105.43,676.87,0.78,277.44
64.18,84.19,281.54,0.85,229.23
64.86,84.43,250.0,0.8,157.06
71.01,84.84,434.32,0.95,376.54
10.44,14.54,77.75,0.91,492.5
24.53,27.44,213.99,0.87,457.47
36.95,38.66,60.57,0.91,66.39
29.23,39.42,237.05,0.77,227.98
56.39,72.72,181.84,0.9,26.99
11.92,15.81,86.03,0.83,370.15
25.95,29.05,58.79,0.97,138.26
65.75,74.85,616.16,0.79,458.6
75.52,81.56,281.28,0.78,137.02
26.89,32.14,57.67,0.97,437.91
82.6,89.47,450.58,0.81,76.08
80.81,99.37,212.22,0.83,459.64
55.65,71.65,619.9,0.97,110.23
61.31,71.17,263.36,0.81,60.04
69.51,78.79,137.61,0.93,422.07
61.84,64.2,289.27,0.88,350.72
21.07,22.93,58.23,0.94,225.82
88.61,115.51,453.26,0.93,102.71
61.89,75.04,414.73,0.85,426.36
78.14,102.25,552.51,0.83,386.4
80.36,108.88,952.56,0.86,294.98
42.84,54.73,137.9,0.97,395.25
72.1,86.87,706.94,0.98,219.61
86.29,114.07,232.34,0.86,257.5
91.18,98.07,504.53,0.9,22.7
79.48,99.45,374.9,0.81,190.21
67.58,81.13,484.45,0.92,63.76
71.6,88.45,198.61,0.76,90.99
54.64,59.72,237.47,0.82,318.11
53.61,67.11,630.48,0.86,293.61
62.34,82.74,341.22,0.89,360.5
12.24,14.45,63.18,0.93,482.73
25.86,31.79,241.19,0.78,299.12
33.07,36.97,256.76,0.9,93.85
94.05,108.42,767.67,0.95,170.96
21.53,29.31,235.83,0.98,311.14
4.99,5.23,11.87,0.94,303.7
18.83,19.77,145.34,0.82,274.64
47.24,60.65,365.52,0.83,440.79
89.92,104.03,665.1,0.86,286.82
11.97,13.83,120.08,0.8,398.84
54.54,65.35,341.88,0.9,287.93
26.29,31.16,246.86,0.96,128.66
15.72,17.61,34.84,0.75,348.69
54.76,64.73,529.71,0.84,156.59
30.85,38.57,111.49,0.94,34.81
44.27,48.67,222.61,0.86,40.72
13.19,16.66,82.69,0.83,223.51
46.14,56.21,130.97,0.84,56.19
35.07,43.51,257.91,0.91,488.53
21.43,22.33,214.41,0.76,327.75
31.0,39.72,236.6,0.97,85.06
14.88,18.71,125.27,0.94,433.41
85.0,101.66,883.59,0.88,449.99
