vin_min,vin_max,vout_target,efficiency_target,power_in
0.28,62.65,35.78,0.75,495.96
23.66,12455.67,56.07,0.96,145.36
20.39,6292.3,39.42,0.88,54.73
44.64,21617.82,53.6,0.92,402.6
6.5,4508.5,10.29,0.86,405.35
46.44,78124.56,90.85,0.81,33.32
0.13,225.74,84.98,0.81,380.7
4.69,5901.97,8.23,0.84,301.63
25.43,27864.83,63.82,0.87,481.06
0.12,117.91,60.14,0.93,147.11
0.02,23.88,14.04,0.86,382.34
0.14,244.96,83.39,0.77,231.17
19.74,18669.03,30.08,0.85,477.84
0.08,48.73,37.49,0.86,333.32
0.03,73.75,24.76,0.84,437.38
0.12,187.85,84.77,0.96,337.64
0.11,44.03,18.15,0.96,122.09
49.44,24427.86,81.07,0.86,237.06
7.23,15120.9,18.75,0.95,263.39
0.08,146.85,57.89,0.83,447.49
13.9,13237.07,17.39,0.82,220.42
5.85,6515.11,14.91,0.78,397.12
0.33,109.83,74.38,0.93,240.66
24.48,29263.93,47.04,0.89,470.78
0.1,120.37,85.09,0.85,101.92
15.16,21116.17,23.13,0.81,209.83
0.05,72.38,40.77,0.82,417.06
48.36,25548.31,67.7,0.77,128.51
33.01,9124.59,42.59,0.81,22.02
0.07,193.44,74.11,0.92,47.5
0.23,122.96,65.23,0.96,36.89
0.11,94.84,70.99,0.82,322.53
0.08,46.55,34.17,0.81,288.56
0.11,55.23,39.97,0.9,325.93
0.11,104.25,46.12,0.88,102.84
56.33,34574.94,91.49,0.86,373.6
22.42,13058.59,35.31,0.9,313.02
0.02,13.47,6.87,0.92,256.15
4.17,7530.14,7.84,0.75,336.87
0.05,22.31,14.52,0.8,286.79
30.74,45644.21,65.12,0.78,288.46
0.16,55.95,35.72,0.8,122.51
26.12,12977.58,44.94,0.85,370.38
0.1,204.65,99.48,0.89,245.59
0.17,195.42,87.76,0.87,375.2
0.02,31.52,17.37,0.76,486.68
10.69,15711.43,16.0,0.88,397.2
17.71,12775.67,38.26,0.84,397.98
0.08,41.43,19.75,0.85,308.91
54.83,53114.96,97.5,0.82,149.81
0.1,52.9,26.65,0.79,155.81
7.58,18493.04,19.61,0.79,374.25
19.55,13885.28,23.56,0.9,385.59
0.13,101.86,37.0,0.94,361.0
45.19,32567.15,83.38,0.89,63.15
0.12,94.46,65.19,0.98,395.42
6.79,9551.13,15.04,0.83,397.8
35.53,12459.0,61.5,0.77,120.66
0.07,102.54,37.0,0.84,226.93
19.4,43956.19,51.58,0.82,497.37
28.55,53750.49,71.26,0.96,21.36
61.08,51780.62,77.26,0.82,454.69
48.28,57915.46,98.92,0.83,209.55
0.09,193.85,81.53,0.83,423.6
0.08,50.37,21.42,0.98,207.18
0.1,55.05,20.85,0.8,409.75
0.19,70.18,50.36,0.76,175.31
0.16,209.27,98.84,0.76,260.82
25.06,12414.92,53.09,0.94,293.44
0.01,32.92,13.78,0.8,384.68
0.05,49.99,16.87,0.86,193.28
0.03,9.23,5.47,0.89,79.8
14.65,3574.57,18.04,0.84,45.04
0.01,21.86,11.9,0.96,187.27
0.46,206.39,94.3,0.76,279.14
25.46,37987.25,54.98,0.82,119.09
0.12,268.5,97.15,0.92,284.66
39.71,33705.38,72.59,0.95,457.44
41.84,48272.26,62.08,0.89,86.79
20.69,56238.7,61.46,0.8,251.54
0.02,14.01,4.82,0.94,221.14
0.06,43.89,19.67,0.85,349.4
0.05,86.2,32.65,0.98,185.36
0.12,201.01,86.93,0.8,35.42
0.08,119.85,45.08,0.8,435.59
24.68,54935.65,60.17,0.91,81.41
0.21,159.16,81.0,0.8,292.91
0.2,128.83,47.75,0.83,248.15
0.07,86.51,58.09,0.82,291.54
0.31,170.56,58.1,0.91,155.08
15.41,7151.13,39.39,0.76,17.87
45.31,47633.78,55.04,0.87,386.24
9.87,14236.04,26.38,0.8,152.47
20.11,45090.57,54.72,0.86,373.08
0.06,114.51,46.04,0.8,263.12
0.07,87.79,68.27,0.91,495.99
39.84,8266.61,64.54,0.83,164.84
15.45,32858.08,40.69,0.8,340.81
0.04,61.55,24.03,0.96,87.02
21.27,20802.56,49.87,0.93,369.4
69.83,86791.96,91.98,0.85,230.03
0.13,193.98,66.11,0.98,115.07
4.3,7485.8,10.79,0.76,409.85
41.94,26805.05,99.81,0.77,123.45
0.05,57.04,44.27,0.9,85.16
33.24,17183.54,67.46,0.91,243.77
23.4,39375.92,57.52,0.81,496.32
0.07,40.47,19.38,0.98,258.89
0.11,38.27,27.79,0.77,143.28
23.28,21913.19,67.6,0.9,353.87
0.02,21.0,16.29,0.82,113.91
0.05,46.69,20.91,0.83,236.34
0.04,70.59,28.87,0.9,120.41
0.36,206.44,97.35,0.87,136.53
38.36,14341.52,87.83,0.9,182.59
44.24,26998.04,96.85,0.9,148.93
10.74,2078.15,20.62,0.87,389.22
25.8,31977.87,37.74,0.96,361.04
0.14,108.04,64.19,0.95,84.84
0.07,12.7,8.51,0.93,469.67
0.57,189.58,81.69,0.78,85.51
2.29,4342.58,5.17,0.81,249.61
10.41,5290.58,18.69,0.84,180.98
9.67,27247.26,28.67,0.91,447.64
0.32,129.48,75.74,0.78,324.14
2.69,2262.82,7.76,0.81,460.34
29.31,29615.94,83.02,0.96,293.35
0.29,57.69,34.69,0.87,225.61
0.02,18.08,11.61,0.83,27.93
0.02,42.63,19.68,0.8,212.55
38.64,11029.91,83.64,0.97,38.34
6.24,4754.07,8.15,0.94,48.15
27.7,65387.11,71.6,0.88,394.14
17.67,36850.27,44.69,0.83,205.16
36.95,51749.24,75.9,0.92,202.58
32.8,23413.76,91.8,0.76,246.88
61.98,21789.46,76.59,0.96,273.94
0.07,131.39,55.22,0.89,38.37
0.1,109.89,49.21,0.81,174.72
69.48,47736.39,86.85,0.8,206.89
0.29,79.42,57.3,0.77,258.58
13.37,20963.25,21.67,0.81,271.0
0.02,27.85,10.98,0.82,384.11
18.91,20678.57,29.82,0.94,291.21
12.44,22256.35,34.49,0.86,466.56
26.84,47594.28,79.83,0.88,397.64
0.06,74.57,54.69,0.93,146.05
0.15,103.83,36.43,0.78,372.01
39.13,35305.82,74.6,0.83,413.39
0.06,132.29,45.62,0.89,232.19
0.11,157.34,69.76,0.86,268.94
30.09,66078.78,88.27,0.96,243.19
22.83,28713.85,29.44,0.77,20.31
0.06,40.94,20.49,0.9,339.5
0.64,188.44,89.92,0.87,428.06
43.38,41945.97,72.89,0.97,356.7
0.19,198.75,69.64,0.84,240.5
0.5,102.57,57.28,0.77,184.2
0.02,14.89,8.0,0.77,287.78
0.04,74.87,35.52,0.96,121.73
0.1,275.93,95.83,0.87,204.5
0.27,136.96,50.84,0.93,249.63
43.46,30833.83,92.62,0.79,349.75
10.43,28951.89,30.75,0.83,20.94
0.11,111.04,80.47,0.97,365.59
60.3,51264.72,94.58,0.83,83.86
0.16,155.75,99.86,0.88,84.21
0.14,126.67,44.73,0.93,271.38
43.14,9840.44,77.75,0.77,50.1
0.48,184.81,84.53,0.83,135.65
0.03,77.58,29.5,0.77,103.6
0.09,251.92,86.37,0.83,267.08
8.34,1442.49,12.03,0.75,266.52
0.09,177.09,89.83,0.81,62.68
0.26,173.97,77.36,0.76,368.28
0.32,149.55,94.93,0.93,415.29
13.6,25824.55,37.3,0.84,35.06
0.22,57.71,43.65,0.86,132.84
0.2,129.55,63.76,0.92,145.47
0.03,52.73,24.01,0.86,257.16
29.62,18027.16,51.01,0.82,13.2
0.06,143.46,54.15,0.98,101.63
0.21,244.02,88.89,0.95,174.21
24.47,10249.52,56.62,0.91,413.21
42.25,33145.87,89.19,0.78,346.19
0.35,156.57,90.17,0.92,172.47
31.56,29184.14,80.0,0.82,150.93
0.05,89.89,36.13,0.93,235.24
0.03,25.38,17.89,0.96,285.37
21.44,13672.38,59.5,0.97,158.46
0.08,114.28,60.59,0.85,69.92
39.33,53226.73,62.84,0.79,201.48
0.11,90.92,50.81,0.86,136.86
31.23,25795.69,56.75,0.96,141.27
0.4,168.23,64.35,0.86,237.56
0.37,141.11,94.99,0.76,298.58
21.82,23119.16,27.42,0.96,482.29
0.13,190.46,70.88,0.85,492.32
36.87,61029.57,78.42,0.87,164.23
11.17,17954.51,30.31,0.82,293.51
0.01,21.14,8.62,0.86,140.47
0.57,177.54,89.43,0.81,258.69
0.14,284.65,96.98,0.95,87.96
2.3,2649.68,6.62,0.85,167.66
0.11,282.62,95.13,0.95,245.13
39.09,26845.4,79.03,0.89,37.02
0.19,172.37,97.0,0.86,481.26
5.48,10201.42,13.54,0.86,408.8
8.76,11096.32,19.3,0.8,96.23
0.25,225.74,86.62,0.92,52.64
0.03,31.4,14.51,0.94,169.4
0.14,132.95,86.93,0.88,125.93
0.02,22.48,10.02,0.76,353.17
46.05,48484.19,93.88,0.75,257.54
59.4,43586.52,77.46,0.98,194.99
0.01,21.6,11.22,0.91,455.3
33.64,33537.61,61.53,0.98,229.58
0.11,119.32,65.14,0.85,406.72
0.1,141.43,54.14,0.88,34.78
0.07,42.8,25.58,0.93,391.74
0.01,23.16,8.95,0.87,324.25
34.21,16396.73,85.96,0.77,119.3
0.1,164.81,76.9,0.98,425.35
0.1,183.42,70.57,0.77,266.93
0.02,33.25,15.29,0.78,289.78
0.1,138.61,94.76,0.79,302.47
21.29,9670.98,46.23,0.83,92.07
17.59,29975.52,33.91,0.97,271.8
7.55,5039.35,20.92,0.89,14.26
0.45,159.5,88.3,0.98,218.69
0.08,197.9,74.26,0.84,468.1
40.63,50540.59,90.24,0.96,477.03
0.07,68.92,37.44,0.77,293.56
0.11,124.87,83.7,0.83,415.82
15.18,14891.29,23.13,0.75,352.26
30.79,32604.77,47.46,0.97,156.08
19.02,23155.36,46.38,0.75,416.27
23.22,36644.86,53.24,0.82,164.62
18.78,23714.66,32.54,0.83,62.78
49.24,64635.04,84.85,0.76,52.84
8.13,7345.77,12.14,0.97,38.42
0.03,21.25,12.73,0.83,68.59
55.13,28104.73,68.91,0.86,132.5
0.09,190.12,73.93,0.87,158.73
0.12,280.47,96.49,0.94,145.94
70.83,54639.79,88.43,0.82,433.45
38.83,14058.96,78.55,0.86,397.3
10.94,19571.21,30.77,0.88,33.46
65.0,36080.45,82.14,0.92,130.38
41.46,16293.6,82.76,0.79,435.55
7.93,14828.67,19.07,0.89,474.38
0.06,149.64,53.5,0.88,424.12
32.38,52435.67,65.71,0.83,320.16
10.61,20419.2,20.46,0.81,218.51
0.11,237.83,80.94,0.94,458.16
32.53,37935.7,50.95,0.78,370.12
23.12,14669.0,44.62,0.76,74.29
0.21,108.12,78.79,0.91,58.3
0.09,227.17,80.44,0.86,403.0
0.01,12.55,8.74,0.91,26.48
0.11,113.38,73.72,0.91,274.67
6.44,6224.2,16.6,0.83,459.08
48.38,12298.07,67.92,0.75,176.69
0.04,21.57,9.6,0.98,399.98
0.13,84.07,38.97,0.87,19.48
0.11,273.8,91.6,0.94,211.96
14.62,3591.37,22.07,0.94,252.73
0.11,106.94,64.6,0.97,229.16
64.43,18383.34,95.34,0.78,144.42
31.71,47146.6,59.55,0.86,303.39
0.14,229.4,79.7,0.76,200.37
4.4,7525.45,8.34,0.8,406.61
0.01,11.63,8.67,0.88,30.45
27.48,22287.95,58.77,0.93,265.93
40.86,45034.07,81.25,0.91,320.44
7.0,2913.64,18.04,0.87,325.51
0.48,232.14,89.26,0.87,95.39
24.84,17802.39,46.63,0.79,150.72
0.08,122.36,59.73,0.75,462.19
0.15,277.28,96.68,0.89,204.24
34.79,10021.74,71.55,0.96,25.36
5.03,13025.14,14.5,0.84,126.71
0.1,248.46,98.09,0.82,171.89
2.08,3582.98,5.34,0.9,32.36
0.04,32.62,13.64,0.89,193.01
3.71,6308.2,9.28,0.96,318.61
36.52,44651.74,47.8,0.93,477.1
37.0,21603.94,49.66,0.77,108.83
0.2,112.93,73.14,0.88,116.82
11.81,31951.69,33.63,0.89,107.22
31.23,43203.56,93.25,0.86,290.02
0.66,183.98,73.31,0.89,70.05
28.14,58372.28,62.24,0.85,233.33
0.01,33.24,12.42,0.93,218.47
5.02,2101.34,14.85,0.93,34.39
0.43,277.49,96.18,0.79,416.02
0.06,162.03,54.73,0.86,255.18
0.93,276.54,98.06,0.77,45.67
0.02,45.9,16.8,0.82,207.54
4.56,9260.6,11.56,0.94,225.81
0.06,65.25,45.42,0.84,221.22
0.08,118.71,57.49,0.86,344.17
33.4,25443.89,61.69,0.79,487.53
18.57,30187.19,51.58,0.91,23.85
0.02,34.39,18.55,0.84,400.59
67.34,92804.9,99.19,0.78,16.39
0.14,179.78,77.74,0.83,462.81
7.36,9921.22,13.08,0.76,319.62
11.86,31533.25,31.87,0.78,99.27
20.64,3829.0,36.46,0.9,390.37
39.77,32153.15,86.24,0.8,445.94
0.22,179.14,71.89,0.88,108.27
54.6,10426.46,83.87,0.79,82.72
35.41,56718.63,96.68,0.77,401.67
0.34,109.21,51.87,0.96,282.32
21.74,32752.41,58.51,0.82,445.91
0.26,212.41,88.25,0.79,133.44
0.36,118.97,41.74,0.93,57.5
0.04,80.23,26.95,0.77,119.34
0.11,117.3,62.99,0.86,24.56
0.39,243.88,83.13,0.91,498.32
0.13,73.95,46.26,0.87,400.44
0.04,70.31,32.9,0.86,487.33
43.25,38052.16,62.34,0.93,424.72
0.06,95.9,40.37,0.91,439.19
0.06,55.73,37.61,0.97,322.52
0.07,135.16,56.04,0.89,38.8
0.08,82.2,50.84,0.88,252.43
28.57,8836.29,39.66,0.81,468.79
0.08,45.27,17.84,0.82,387.6
9.4,1662.54,13.16,0.97,261.72
25.09,55514.44,66.84,0.81,293.75
42.91,32094.87,55.18,0.79,269.1
6.86,5987.71,15.49,0.9,146.14
0.1,89.73,41.85,0.97,211.68
0.07,147.68,59.06,0.87,205.06
37.54,14998.35,63.16,0.82,377.33
13.17,4123.94,16.26,0.96,317.61
40.39,29919.77,52.35,0.87,316.62
0.25,225.77,85.58,0.76,379.58
22.47,62604.99,63.76,0.82,63.71
30.81,29112.27,66.24,0.84,129.04
0.11,213.28,76.05,0.88,82.21
12.66,4898.44,27.44,0.85,299.1
26.68,12519.53,42.08,0.89,212.36
22.91,13753.91,55.68,0.8,385.36
49.35,56379.63,68.02,0.86,199.17
20.84,53168.91,57.34,0.86,151.33
1.93,3941.01,4.88,0.87,442.0
0.14,276.25,94.57,0.93,492.8
4.28,8876.61,10.99,0.76,410.46
0.03,36.63,15.25,0.83,448.51
22.07,29490.34,54.56,0.91,490.27
21.71,50801.33,63.68,0.87,240.8
18.02,13370.51,49.56,0.97,115.74
0.82,124.34,84.87,0.91,46.73
0.01,7.46,3.66,0.85,304.33
5.66,5028.31,14.28,0.77,451.09
0.09,148.67,93.1,0.78,373.49
12.46,12598.74,28.84,0.96,262.84
0.07,156.94,66.9,0.94,61.52
