vin_min,vin_max,vout_target,efficiency_target,power_in
12668.32,17548.58,31.79,0.78,308.97
8109.02,9817.23,29.83,0.75,142.38
18885.44,26041.6,66.17,0.94,408.66
18353.75,19862.82,71.63,0.84,165.69
39699.94,48588.44,82.58,0.96,406.12
45966.95,54621.3,55.59,0.92,336.47
39432.13,47789.81,64.07,0.93,273.48
44565.5,53029.88,55.5,0.85,313.05
69302.94,96317.06,85.79,0.8,221.25
5797.66,6490.43,45.12,0.95,57.11
6699.14,7032.02,61.93,0.85,204.62
12148.48,13942.85,76.98,0.76,118.68
57752.45,75510.89,85.57,0.75,385.48
41501.32,57986.18,63.0,0.88,451.12
36910.03,44273.44,67.38,0.94,43.04
36950.5,49300.34,74.97,0.96,113.22
33677.27,41056.71,57.61,0.95,458.7
14848.19,15959.81,50.98,0.85,26.39
45054.84,55899.99,75.46,0.83,378.87
16467.81,19857.04,62.49,0.76,230.02
19255.78,24347.95,36.72,0.83,334.59
12455.46,14751.92,29.64,0.88,380.9
12433.77,15318.86,36.16,0.91,457.5
7317.48,8408.9,15.05,0.87,250.94
59158.24,66552.25,77.13,0.81,472.31
67298.19,98470.08,83.75,0.85,261.58
8189.25,11451.99,26.81,0.77,352.92
5196.86,5770.29,34.25,0.83,274.56
11806.01,12126.32,35.26,0.8,345.87
63131.13,78889.18,82.7,0.83,276.26
7846.81,10881.22,17.76,0.87,78.76
36643.79,43919.28,52.38,0.88,40.49
13798.01,19418.24,61.47,0.89,188.33
4917.47,6248.97,15.38,0.86,54.12
26197.07,32332.91,43.62,0.94,295.5
2059.21,2404.63,14.84,0.9,144.38
75637.82,90499.97,92.08,0.79,208.24
16607.42,22818.46,79.25,0.86,442.58
1927.23,2311.95,18.28,0.91,260.91
56596.49,76145.54,95.43,0.85,369.27
15720.93,20561.92,90.39,0.75,110.66
5121.32,6184.89,33.09,0.9,47.43
6584.71,8324.58,46.63,0.9,290.32
5811.39,7475.98,9.65,0.77,74.39
41957.89,47216.03,69.3,0.8,321.12
26690.59,37238.98,52.56,0.89,452.15
4826.69,5701.77,12.21,0.96,29.23
34480.07,45730.42,99.51,0.96,288.64
13644.62,15182.46,25.93,0.81,110.78
38267.62,42971.43,56.84,0.9,435.12
37703.0,54355.04,57.66,0.8,70.37
46725.55,58939.6,86.61,0.76,449.82
17616.18,22389.08,99.5,0.9,359.85
32083.47,43396.14,59.98,0.8,321.93
26452.88,33481.52,41.16,0.83,406.78
30343.3,44823.18,53.02,0.83,458.81
5136.99,7271.9,15.79,0.76,283.99
10071.16,13006.67,48.85,0.78,236.52
30201.55,31802.18,68.34,0.89,484.91
2633.44,3503.61,8.92,0.76,24.11
54532.45,72162.91,74.73,0.79,379.52
13997.3,17173.93,68.16,0.83,127.39
33438.82,40583.04,54.36,0.78,181.86
15780.64,20129.7,22.01,0.88,189.56
21092.69,24065.16,55.32,0.89,210.78
31533.43,37422.03,63.29,0.87,133.61
6530.61,8332.11,10.57,0.77,494.02
7424.54,8632.04,10.77,0.82,33.19
13649.96,16223.66,88.56,0.77,396.68
36189.72,48010.46,96.89,0.82,31.39
9393.64,10435.45,53.9,0.94,315.15
3977.39,4580.48,28.58,0.8,112.54
43453.22,58571.64,74.03,0.79,92.98
30711.4,41518.2,63.12,0.95,366.71
21872.14,24187.35,31.68,0.91,92.97
49655.63,59335.81,97.35,0.89,23.49
15756.19,18394.18,29.1,0.93,27.13
54253.32,62432.89,62.51,0.76,368.53
27243.53,38030.76,73.91,0.87,348.84
72701.3,89328.98,88.18,0.81,492.57
32506.0,38128.01,42.14,0.95,481.89
6547.82,7021.02,19.05,0.87,404.63
41591.52,46353.77,86.22,0.86,291.07
22807.59,27590.88,88.44,0.91,11.47
54782.87,65940.44,57.77,0.86,16.2
69417.29,85315.8,83.36,0.81,350.62
6420.61,8499.61,8.51,0.82,467.76
22004.49,28963.28,51.04,0.8,434.11
11975.07,16284.98,31.01,0.95,108.46
20694.08,24365.15,40.07,0.87,54.72
4774.18,5352.39,4.96,0.83,45.14
13387.66,16306.81,32.43,0.78,374.52
28759.52,34393.01,62.28,0.9,480.33
14852.27,16666.38,29.12,0.97,362.69
40771.21,44566.64,54.02,0.96,44.21
43668.53,48973.04,88.91,0.79,173.58
47039.76,59236.74,79.32,0.89,98.97
32646.17,38413.5,80.69,0.97,454.2
1207.12,1289.1,6.86,0.82,142.26
36528.3,42147.47,46.12,0.78,415.09
14866.3,15400.77,22.81,0.87,201.6
4328.6,5188.78,5.79,0.94,221.84
1654.11,2267.17,13.83,0.93,225.63
18719.52,23753.66,29.54,0.96,78.13
28026.22,33533.38,79.36,0.82,35.97
9083.8,10868.34,13.4,0.87,122.01
56525.59,71910.25,74.57,0.87,416.17
38526.52,50584.74,85.29,0.88,170.08
16156.95,19461.53,66.85,0.9,57.29
19026.21,27168.12,25.61,0.82,87.79
65108.15,80103.98,83.89,0.97,75.27
12382.08,15901.36,44.98,0.97,320.74
61680.69,80212.8,93.45,0.84,282.03
30599.62,39453.57,36.43,0.79,285.63
7657.56,9997.44,57.11,0.95,45.47
31384.46,33673.4,88.31,0.79,197.95
17393.39,20434.83,61.75,0.76,470.56
13579.38,16681.18,33.56,0.91,55.61
51334.92,71964.04,81.25,0.77,472.53
23211.59,27893.27,39.98,0.93,353.03
8639.96,10832.3,75.29,0.94,41.4
2526.72,3187.19,6.51,0.86,467.57
35911.61,48174.92,97.29,0.97,99.46
33889.64,38315.59,73.79,0.82,210.57
12051.92,13871.9,31.59,0.87,341.58
29101.72,36249.22,43.55,0.96,140.91
5701.52,6852.99,31.11,0.95,404.23
54219.18,57662.99,70.22,0.83,329.34
54742.6,68285.2,92.32,0.9,239.26
38978.5,55241.06,58.66,0.85,450.17
48851.26,56607.3,87.09,0.81,309.72
20420.58,26552.92,77.77,0.9,80.21
6528.38,8702.5,26.86,0.77,209.12
31844.12,35850.37,97.99,0.87,422.45
52132.55,69416.02,85.19,0.75,191.74
64239.17,77541.23,77.45,0.76,481.93
22797.57,25987.17,50.43,0.84,69.9
4770.58,7039.18,14.86,0.93,372.79
38000.2,42377.5,53.21,0.83,65.51
9176.38,11171.08,60.75,0.81,465.84
22259.11,26879.4,28.35,0.95,49.29
51940.71,60815.3,92.04,0.87,174.76
33490.66,35699.14,74.8,0.76,363.72
40926.35,47448.43,67.62,0.96,378.3
24527.45,33841.95,33.6,0.9,324.03
6762.07,8385.12,59.32,0.89,420.33
52261.63,60395.71,60.4,0.92,68.9
28013.73,29922.69,31.01,0.95,282.34
3132.97,3504.32,8.85,0.9,112.57
16147.71,17404.82,48.43,0.87,488.66
37394.09,44825.51,92.33,0.86,472.63
74490.36,88949.11,89.34,0.86,258.22
32669.21,42601.03,43.43,0.79,472.02
61316.04,86892.23,78.22,0.8,92.42
8275.81,10785.84,32.81,0.77,26.39
13926.0,15566.42,38.24,0.78,454.86
69288.79,82568.59,74.98,0.78,434.73
8957.86,11207.66,42.53,0.88,237.61
5830.81,7081.57,53.61,0.97,401.37
15080.11,19770.28,49.82,0.76,251.23
39097.32,52248.57,87.64,0.83,417.53
2900.3,3359.9,7.53,0.77,301.78
5121.98,5892.81,8.71,0.83,235.92
32646.9,38498.19,77.33,0.81,434.78
2618.85,3282.98,25.12,0.82,282.04
36860.44,47639.26,89.07,0.78,284.06
33048.71,34888.2,43.71,0.96,456.7
57151.33,71020.9,91.57,0.91,211.47
13098.02,15610.78,53.89,0.78,291.38
67504.17,72671.36,76.02,0.92,311.05
27480.38,33414.69,95.5,0.86,23.31
30167.62,35477.73,98.7,0.77,265.45
14989.28,19749.82,70.85,0.76,348.03
13753.61,16948.44,87.79,0.78,387.21
30710.19,42771.17,40.11,0.93,222.46
5477.1,5615.56,23.1,0.92,399.19
91882.7,103255.9,99.66,0.89,357.23
27674.76,30285.78,55.01,0.93,123.31
32672.72,40524.38,42.51,0.78,489.41
48267.96,51465.87,88.5,0.96,33.5
19822.27,21156.73,31.85,0.97,62.26
39525.3,43851.2,82.37,0.91,92.2
57559.08,73330.6,94.29,0.81,259.95
61557.19,68942.9,82.29,0.88,94.87
5565.54,6366.61,9.08,0.87,355.16
21148.1,24198.4,69.77,0.97,79.48
29869.27,36274.26,82.38,0.83,282.54
43089.93,51698.42,68.31,0.88,217.88
14858.6,18971.52,61.45,0.95,16.47
12243.89,15815.92,20.79,0.98,228.26
27497.26,39052.05,67.74,0.81,88.52
63973.29,72297.19,90.64,0.76,490.35
13694.13,18031.97,45.1,0.85,182.85
20377.32,26497.52,42.91,0.95,296.14
3612.32,4826.81,14.47,0.78,24.22
40452.23,48795.21,96.57,0.92,115.23
9352.76,11575.84,34.66,0.91,270.56
66019.73,88611.19,92.32,0.85,482.98
6596.4,7227.42,33.92,0.97,347.24
40247.49,56011.87,79.3,0.93,394.82
15888.57,18192.39,58.15,0.97,313.2
32343.32,44300.84,75.96,0.78,289.15
6976.1,8156.42,13.94,0.88,148.45
16283.19,21812.6,66.98,0.83,262.29
29692.66,32840.1,50.91,0.98,154.98
2068.58,2709.23,15.21,0.84,418.75
68581.15,97678.2,85.93,0.95,399.82
30569.02,36614.62,83.83,0.94,472.98
22488.56,26351.45,44.65,0.86,176.43
10473.27,15141.93,62.42,0.91,125.66
2895.34,3303.95,19.61,0.93,149.71
1251.01,1562.03,3.64,0.85,375.13
48023.94,59638.17,77.1,0.84,84.46
43126.25,53808.22,72.89,0.78,302.27
15709.32,16820.75,90.47,0.78,41.4
17878.31,19354.46,42.74,0.92,266.6
4894.61,5554.29,14.22,0.87,58.01
6329.88,7361.27,20.13,0.76,390.66
11872.1,14954.55,52.25,0.78,363.7
23791.92,27697.54,95.19,0.8,51.92
7330.31,10250.23,27.83,0.84,89.29
20145.13,27212.83,27.12,0.94,135.66
4685.66,5869.38,18.3,0.76,55.48
20751.4,25820.9,42.51,0.78,406.5
16711.28,18294.01,28.62,0.89,274.66
16023.78,17364.87,95.84,0.78,257.15
7926.22,8989.06,35.04,0.91,246.79
7395.03,8742.23,14.61,0.83,164.74
24313.06,29523.77,49.08,0.78,373.81
43568.22,59338.52,78.43,0.95,330.72
10332.33,12120.73,19.16,0.77,201.87
20281.24,22768.47,64.16,0.96,264.15
67441.27,80623.93,84.18,0.82,480.02
8863.52,11071.06,88.67,0.9,343.64
11901.1,16054.52,44.9,0.97,85.35
3233.83,4247.23,6.74,0.84,168.97
13094.55,18895.46,54.16,0.93,273.1
9372.03,12535.06,28.82,0.97,391.44
38098.93,45918.58,92.02,0.86,465.31
33631.21,43404.75,67.18,0.95,184.48
4357.5,4983.72,16.61,0.8,275.7
4100.52,5209.43,31.89,0.81,289.08
12175.5,15814.63,31.57,0.95,278.98
18016.59,22790.94,79.21,0.98,376.57
12421.62,14057.58,16.34,0.81,385.55
46626.33,55854.26,94.65,0.81,435.95
9473.7,12063.63,72.81,0.78,436.76
17323.0,18519.63,19.04,0.8,312.44
39687.08,51393.3,51.9,0.81,305.43
80459.17,94543.28,98.73,0.78,285.84
43119.38,48710.51,67.08,0.8,113.71
14071.36,19562.48,27.95,0.94,12.19
6327.0,7311.91,26.99,0.84,199.09
6610.88,9491.58,18.38,0.94,54.19
29732.09,41951.24,73.34,0.86,19.64
51029.37,59530.31,57.17,0.96,310.73
2196.46,2756.32,6.12,0.96,163.47
1135.45,1384.54,3.55,0.78,360.34
19489.45,23549.51,57.41,0.78,291.24
44300.59,56151.48,99.46,0.79,128.27
25263.97,32101.38,62.25,0.89,163.79
29063.12,33804.92,53.78,0.93,224.29
8894.52,10737.49,22.76,0.96,470.71
26290.3,31848.68,45.57,0.81,460.25
11713.05,14184.76,25.51,0.96,223.69
61466.83,74866.91,84.43,0.93,126.27
31285.68,43768.38,77.45,0.86,207.64
10329.21,13340.83,52.39,0.79,344.55
13401.35,16671.01,87.88,0.86,341.7
6101.89,8053.35,9.54,0.95,214.9
31568.18,43935.97,86.86,0.93,405.71
18440.68,24509.03,24.81,0.76,299.71
49758.79,55928.73,81.41,0.85,351.36
20991.78,21685.39,81.43,0.81,416.69
39819.81,47355.3,57.68,0.81,77.09
27470.94,38009.62,71.1,0.89,459.85
19056.72,25092.19,27.14,0.78,355.64
42324.24,43751.48,89.93,0.91,481.14
18353.78,25715.81,81.5,0.8,174.41
35169.26,40679.61,41.57,0.86,377.78
52598.25,64147.77,86.12,0.94,287.96
23662.21,30538.67,79.84,0.76,230.6
9329.06,12624.02,11.43,0.86,270.23
5909.55,7028.89,22.06,0.88,393.3
18155.51,24057.19,34.39,0.75,72.26
8719.01,13031.11,14.9,0.88,306.15
19503.18,22113.77,55.37,0.91,455.56
23966.71,25642.07,38.39,0.87,335.5
67690.67,71626.73,76.2,0.9,466.97
13658.0,15728.31,19.3,0.79,416.16
20499.99,27058.18,46.79,0.79,253.97
6139.25,7651.04,20.43,0.85,447.13
21076.84,27569.78,37.99,0.84,165.2
69415.78,79572.83,76.65,0.94,373.93
7967.67,9577.2,15.89,0.98,451.25
33494.43,37775.33,35.95,0.98,151.37
73917.76,80154.8,84.13,0.86,65.89
53370.69,62100.93,72.72,0.94,78.58
12162.66,15246.45,74.11,0.95,149.73
52958.07,70274.64,65.65,0.88,162.5
4527.97,4897.39,22.58,0.9,126.13
21978.52,24809.17,65.14,0.8,76.74
56002.27,61218.09,90.32,0.87,63.88
5281.44,6313.56,7.97,0.86,399.65
14217.31,15440.37,56.13,0.95,259.59
36355.14,39469.25,52.66,0.93,490.37
4762.43,5541.56,29.54,0.85,36.99
11418.76,11887.85,54.1,0.89,33.55
17806.64,19408.99,21.85,0.86,167.25
14151.07,19376.58,29.87,0.78,158.95
1813.45,2186.29,9.37,0.75,293.41
19776.5,28671.51,27.14,0.97,272.46
31793.0,40553.8,86.42,0.95,342.36
21321.14,22571.31,35.05,0.98,491.7
32671.29,34641.75,46.15,0.84,474.85
77482.42,100185.32,92.3,0.97,127.2
8760.74,10297.6,71.51,0.95,308.15
10002.44,12141.45,15.52,0.96,130.87
26203.86,34285.88,45.16,0.79,79.28
9913.35,11820.27,58.12,0.94,251.58
26747.71,31662.55,48.57,0.87,172.35
34092.84,38637.11,39.2,0.96,67.66
74771.05,83337.62,83.09,0.94,419.81
19069.57,22669.53,92.6,0.81,489.77
27553.24,36487.75,46.77,0.78,350.79
37277.9,41549.3,52.42,0.78,377.48
23128.43,29219.05,47.11,0.8,19.58
7225.0,7578.74,29.55,0.8,181.16
36388.3,39811.48,89.32,0.77,27.83
36630.55,40731.66,44.92,0.91,340.36
26480.17,34038.3,54.02,0.89,122.69
12074.69,15271.99,29.05,0.92,188.57
35255.74,45154.27,45.5,0.88,364.86
65263.79,89141.02,89.24,0.95,198.56
16094.87,20153.74,22.76,0.8,351.62
4847.14,5478.21,39.78,0.92,35.04
8868.45,12055.13,90.23,0.87,226.29
10805.87,11482.96,18.16,0.84,172.01
16194.68,19440.28,26.84,0.93,348.06
3868.03,5567.46,12.02,0.76,246.21
50094.96,59299.57,71.36,0.9,225.38
34635.37,50553.58,59.05,0.8,268.24
1081.22,1289.47,9.71,0.9,465.3
18433.01,22608.84,88.02,0.83,302.02
22271.33,24378.02,43.09,0.77,245.11
59989.05,65686.18,72.65,0.84,427.28
9647.69,10669.71,11.89,0.98,97.67
14022.48,18363.68,36.3,0.79,477.77
10796.42,14771.91,74.76,0.94,229.69
13863.17,15904.12,35.2,0.96,135.75
40458.55,41449.6,92.67,0.85,422.6
21829.5,29675.76,91.7,0.89,267.72
31693.77,44660.11,81.55,0.86,403.14
20754.57,24656.81,71.13,0.92,467.05
51960.38,59130.52,61.06,0.96,361.1
7707.15,9799.04,87.74,0.96,284.03
19299.92,21455.93,59.37,0.88,253.45
33273.02,40034.92,74.39,0.9,149.8
14717.79,17817.59,67.24,0.8,258.8
45481.74,52052.28,60.53,0.88,493.38
2754.82,3632.37,4.95,0.95,232.66
39841.9,47744.86,60.46,0.81,342.61
16634.12,19206.04,37.22,0.98,310.5
12236.41,13170.92,76.28,0.76,340.63
20469.36,25853.08,40.73,0.79,219.49
77705.48,87425.29,93.48,0.95,106.28
9776.72,10290.21,37.94,0.94,299.33
24738.41,28104.11,61.14,0.9,240.63
14573.59,20186.24,17.98,0.86,227.1
10552.26,11900.67,55.24,0.89,219.83
50166.45,62012.05,71.63,0.82,420.87
34655.52,44496.13,60.88,0.93,170.95
9386.19,12045.69,83.23,0.92,368.86
30741.86,44469.2,62.18,0.87,420.46
32723.87,38653.98,51.59,0.92,469.24
6664.88,7654.73,29.95,0.82,106.55
449.84,616.97,4.74,0.89,415.79
43574.02,53298.42,84.32,0.94,423.01
22931.76,27910.23,73.53,0.87,453.11
6789.99,7820.32,7.63,0.82,350.28
26113.76,31517.67,38.94,0.78,447.41
41283.29,43993.46,75.37,0.94,114.71
24368.68,34267.25,52.56,0.91,483.08
37469.41,51664.33,52.31,0.75,402.17
73931.88,95232.86,90.81,0.96,435.65
19029.46,21624.25,35.17,0.89,57.51
5200.2,7397.26,24.11,0.86,264.9
36460.34,39762.84,59.59,0.77,45.78
13542.34,17001.86,46.44,0.89,25.41
51680.93,68067.03,66.74,0.81,415.67
18790.33,22168.66,61.83,0.91,265.04
2328.55,2864.64,6.98,0.84,494.23
23732.76,25726.55,78.07,0.92,280.9
38859.9,46017.28,87.49,0.82,145.92
5860.42,6259.83,11.19,0.78,177.73
30424.21,41614.87,94.02,0.9,48.58
18802.87,22359.42,23.2,0.76,457.7
19675.77,24027.99,41.69,0.89,473.27
25666.97,30290.47,59.43,0.75,22.49
51268.51,54666.22,64.88,0.82,37.81
39498.04,53323.12,67.29,0.81,469.31
55370.48,57005.27,77.94,0.89,187.03
5970.66,6760.03,12.81,0.87,41.32
5441.64,6564.39,56.92,0.8,13.42
70304.3,102608.48,98.59,0.93,123.07
24386.85,30628.94,41.17,0.79,440.06
4630.25,6280.71,9.5,0.96,77.0
59384.3,73879.06,73.08,0.96,213.56
51340.18,60844.65,91.64,0.82,469.51
12957.46,15546.8,93.07,0.84,16.3
10911.85,15534.22,18.19,0.86,297.33
14208.06,17728.42,31.12,0.94,307.26
3884.31,5614.56,6.21,0.82,28.41
8707.35,9737.7,28.68,0.81,341.17
18864.97,26481.18,63.42,0.93,110.75
70510.0,90881.97,92.66,0.87,41.04
10197.45,14503.7,22.75,0.84,282.59
51918.45,71465.2,94.86,0.87,18.21
10678.78,12638.53,87.76,0.96,474.31
17095.38,22922.43,26.47,0.83,59.21
20356.07,22575.28,29.43,0.83,231.63
22849.15,24707.92,32.21,0.89,87.15
30059.35,34005.36,34.65,0.82,427.62
35620.89,42356.08,42.5,0.83,328.2
21929.08,24621.0,43.47,0.76,189.13
5534.79,6572.2,42.38,0.79,212.45
27100.24,35461.66,74.43,0.88,33.35
37338.99,48417.04,45.38,0.97,383.62
7701.65,9901.73,11.64,0.85,150.14
8400.03,9826.02,79.91,0.75,201.48
4987.36,6055.0,6.03,0.89,77.9
36017.31,43388.18,70.65,0.82,175.7
10565.87,14287.7,36.22,0.85,173.31
30517.94,40224.12,50.95,0.83,129.59
26173.42,32606.96,64.7,0.9,178.07
18576.56,19993.83,98.46,0.93,66.18
752.11,954.14,6.44,0.96,322.09
20411.22,27723.84,26.59,0.79,75.65
3887.19,5444.11,4.99,0.97,277.69
36332.07,40744.03,83.92,0.76,343.42
51465.75,59334.92,69.06,0.97,249.03
32955.13,39846.1,49.85,0.93,219.35
9929.77,13538.27,17.53,0.85,473.01
59942.45,79096.32,78.5,0.88,204.44
25026.99,26733.39,29.77,0.76,260.1
29371.72,35526.55,43.71,0.97,50.27
35611.84,46610.81,65.69,0.76,416.78
78974.97,99537.84,91.54,0.86,29.31
13442.12,16092.03,92.86,0.9,256.76
56025.96,72908.72,96.14,0.96,393.81
37638.49,42327.15,69.09,0.94,103.74
84671.38,98324.93,96.81,0.91,235.2
45532.55,52121.56,51.35,0.98,479.27
77132.41,86495.64,91.44,0.98,490.59
10484.63,12005.57,15.1,0.78,424.74
80551.79,86395.31,90.63,0.96,154.84
72882.9,88964.49,88.25,0.87,12.08
54319.88,60869.22,79.13,0.82,60.83
37669.85,47102.05,53.97,0.77,132.63
2475.67,3249.4,6.83,0.86,55.77
24811.51,26743.39,78.67,0.9,260.18
30371.77,36317.43,51.16,0.91,35.24
2308.32,3140.13,3.68,0.81,285.94
20217.56,25597.65,58.96,0.76,119.66
17211.53,21645.3,49.71,0.86,339.52
18494.05,21563.24,34.3,0.77,335.28
1770.68,2381.78,12.84,0.93,196.57
4810.95,5602.83,51.98,0.88,158.25
40222.9,48216.04,76.75,0.89,386.92
41638.83,46853.89,42.17,0.91,441.25
72933.3,86617.57,84.51,0.77,131.36
4145.27,5582.01,9.14,0.97,119.01
37006.42,46060.09,67.74,0.78,108.55
6710.88,8113.67,17.13,0.84,19.36
62197.2,66765.16,86.64,0.78,331.45
56421.53,68860.39,95.3,0.89,183.01
18741.52,25540.88,64.54,0.83,434.57
50272.23,58782.42,93.6,0.82,366.89
32173.67,37239.78,64.13,0.79,158.08
33840.79,44579.81,58.58,0.8,127.89
16205.23,19642.96,19.87,0.76,233.61
17502.79,22196.37,19.65,0.9,121.41
20944.86,25944.98,74.43,0.89,125.71
29916.67,37014.22,97.64,0.8,193.5
6080.16,7262.85,34.69,0.88,89.41
3540.6,4416.03,6.01,0.83,254.41
31162.74,36869.88,97.59,0.96,401.73
52748.86,66391.61,73.3,0.94,178.92
41503.83,56422.6,64.49,0.82,38.63
31902.94,37736.5,74.06,0.84,493.59
53469.94,56825.05,68.09,0.79,31.16
6867.94,7498.57,29.87,0.8,106.98
6624.34,8715.84,9.94,0.76,236.69
22502.91,31080.62,53.12,0.83,234.95
56794.24,74040.49,74.4,0.78,307.87
9196.81,11052.86,56.45,0.79,308.99
2861.18,3177.27,3.91,0.8,243.18
34753.87,43176.59,56.59,0.77,97.17
9236.14,11189.66,53.79,0.87,347.63
7904.03,9319.5,12.18,0.97,252.85
28341.6,30593.54,52.27,0.75,221.19
11593.98,13844.62,73.58,0.9,44.35
38955.24,43266.07,80.38,0.93,386.31
9421.66,10717.97,54.82,0.92,120.95
11992.3,14958.71,43.8,0.86,410.57
33047.38,36961.46,76.22,0.87,464.12
46555.85,55967.81,51.15,0.86,157.96
17478.74,21263.6,43.72,0.93,418.08
62502.46,78869.28,98.41,0.93,224.48
70220.97,81193.84,86.34,0.82,126.22
49800.28,61454.64,79.77,0.83,237.02
51320.62,61747.91,56.55,0.96,179.19
19436.72,23689.77,71.48,0.95,81.2
57990.3,77100.41,89.51,0.91,35.21
31665.25,36537.86,80.58,0.95,213.15
62503.82,81887.97,79.14,0.92,139.57
3094.74,3698.85,20.18,0.82,56.85
619.18,824.29,3.5,0.77,373.8
3996.17,5093.23,4.74,0.79,52.87
20602.56,24925.49,70.27,0.82,232.19
34808.81,46669.26,41.12,0.92,62.88
52965.53,63627.2,64.52,0.76,171.66
46136.61,59506.42,56.49,0.83,305.55
15946.18,19655.95,99.05,0.75,444.39
37180.86,51525.83,58.3,0.82,362.35
10943.1,14071.51,99.52,0.89,348.18
19627.94,22717.8,57.63,0.91,195.93
36139.85,46532.8,51.35,0.92,128.21
17683.83,21778.21,28.58,0.91,457.28
9723.59,10432.48,47.66,0.81,173.2
31625.02,40075.09,87.24,0.97,401.35
29530.8,40469.24,44.65,0.95,299.92
9271.44,13663.57,13.48,0.78,54.81
12806.58,15744.14,29.28,0.78,216.11
21399.48,27038.12,36.47,0.96,55.81
39761.46,46658.56,98.57,0.83,139.87
2967.14,3553.05,7.57,0.89,224.87
34779.65,46581.65,79.23,0.82,473.75
30237.6,35955.9,54.93,0.87,453.31
28087.35,34633.33,42.78,0.95,21.19
67068.02,80214.41,92.4,0.81,277.22
31423.24,38428.77,78.31,0.77,179.0
11000.68,14250.17,46.3,0.93,394.28
15620.63,17811.3,19.25,0.76,438.93
29036.2,33141.81,52.9,0.9,452.71
13860.08,18249.2,64.9,0.92,333.69
50825.81,68064.73,86.07,0.84,292.77
11621.52,13322.06,44.83,0.9,287.96
28028.31,29185.64,42.75,0.81,435.55
9056.71,12051.48,15.02,0.83,121.89
12058.85,13339.08,65.35,0.94,339.71
10521.52,11668.2,58.74,0.91,367.8
15139.99,20424.85,70.71,0.9,236.99
50692.03,68135.43,62.16,0.76,451.28
27853.48,29097.38,72.98,0.8,417.02
8491.1,10748.01,44.82,0.82,297.74
50399.32,62984.78,75.2,0.78,387.32
