vin_min,vin_max,vout_target,efficiency_target,power_in
43.86,53.07,3586.68,0.96,425.39
43.3,61.22,4068.0,0.84,370.69
67.75,72.69,1625.66,0.95,483.57
62.55,81.95,5468.46,0.97,385.88
79.48,98.31,2259.64,0.93,439.2
15.11,21.33,611.5,0.8,358.42
65.41,84.69,2035.8,0.76,276.14
30.74,35.45,1438.93,0.86,464.41
59.24,65.8,1515.25,0.88,115.35
12.29,13.75,190.21,0.88,240.37
29.42,34.89,1379.3,0.98,497.64
73.01,83.07,2024.15,0.78,424.86
33.6,42.0,3254.32,0.76,367.03
72.13,90.91,977.51,0.95,220.34
27.42,36.27,727.0,0.81,91.8
46.19,48.0,4253.07,0.85,38.57
75.2,100.96,5645.02,0.96,128.11
58.12,73.04,759.52,0.8,381.02
32.77,42.25,1544.93,0.81,324.95
80.85,93.52,5968.97,0.77,40.36
58.45,68.58,4843.2,0.92,232.32
7.12,8.22,699.79,0.8,124.06
43.39,57.03,3224.98,0.77,295.18
23.13,24.32,1927.23,0.78,416.34
28.88,34.4,2608.01,0.94,490.45
31.96,39.39,1457.16,0.87,340.3
61.64,67.0,1727.05,0.94,184.71
47.0,61.24,3195.25,0.95,37.42
79.09,97.66,6993.79,0.84,389.55
37.23,49.55,1344.87,0.87,15.86
60.0,66.57,5838.67,0.83,114.77
43.64,58.61,1292.7,0.84,249.06
45.81,53.0,1410.37,0.8,84.26
53.64,72.63,4285.55,0.89,402.85
18.57,21.42,1431.7,0.79,132.92
55.26,65.43,682.71,0.8,131.07
19.88,26.45,1509.99,0.87,426.28
81.66,95.48,940.03,0.96,61.4
18.43,22.32,974.04,0.87,296.6
25.43,27.61,1608.02,0.78,229.04
51.3,56.89,2564.71,0.98,200.53
38.26,42.4,759.22,0.91,150.72
41.34,51.96,4653.16,0.89,445.97
34.69,48.52,981.65,0.9,302.29
16.0,19.36,1394.48,0.93,220.19
54.89,62.44,5246.8,0.95,110.5
70.11,76.17,4528.33,0.77,181.71
44.71,52.8,3456.68,0.86,188.68
12.37,17.33,1059.47,0.95,133.4
43.75,57.55,3142.51,0.94,161.07
33.11,39.97,535.67,0.95,78.75
3.53,4.43,279.6,0.89,64.0
14.98,20.95,1221.74,0.97,324.8
3.56,4.73,189.94,0.89,295.52
13.71,15.82,813.09,0.92,53.66
50.97,60.92,3020.92,0.98,407.33
75.89,91.39,4493.2,0.9,269.14
48.21,61.35,805.93,0.93,278.43
61.97,74.74,2604.6,0.91,474.77
77.79,91.92,5967.39,0.76,231.04
4.02,4.61,226.31,0.8,290.53
44.74,50.56,883.18,0.96,270.32
84.14,106.08,5386.43,0.89,14.15
67.65,78.38,4989.36,0.9,460.11
83.88,105.94,9442.16,0.87,340.14
79.49,92.37,4429.04,0.77,165.09
7.38,8.55,384.57,0.97,297.38
56.49,59.33,3365.49,0.77,68.2
73.96,98.45,3864.59,0.94,488.83
75.6,102.84,6822.49,0.94,361.9
63.8,82.71,1783.3,0.82,253.01
61.35,76.42,3993.27,0.82,65.63
75.83,89.21,853.01,0.84,487.82
65.09,80.49,4466.47,0.79,67.08
68.49,90.86,4956.76,0.96,355.6
35.31,40.29,3530.86,0.78,231.68
28.11,35.29,1854.83,0.8,195.35
45.49,61.65,1729.24,0.76,104.92
43.6,61.93,597.03,0.94,466.58
47.65,56.6,1889.47,0.76,454.62
45.53,60.43,1899.25,0.96,198.16
55.59,73.44,6084.0,0.89,104.87
53.2,59.44,4122.15,0.88,201.65
70.83,100.73,3208.3,0.88,445.14
9.63,11.24,441.1,0.92,348.54
81.19,102.34,6294.57,0.94,447.72
36.39,43.52,3498.94,0.84,157.22
77.49,94.85,6980.8,0.82,245.13
47.12,66.94,3540.11,0.97,175.54
82.69,94.67,1007.96,0.85,311.67
96.69,99.17,6547.49,0.95,379.99
22.47,28.76,785.02,0.83,183.85
93.78,116.1,6438.78,0.77,393.04
3.5,4.75,258.08,0.77,278.95
29.11,40.84,3389.58,0.8,66.25
90.62,103.0,4394.34,0.78,344.83
44.51,54.11,1412.09,0.91,458.18
67.63,76.89,2629.04,0.97,452.26
10.22,13.39,1153.26,0.84,374.65
44.13,57.35,3322.88,0.76,26.79
85.26,100.89,9004.96,0.89,346.16
80.96,84.57,6038.39,0.94,253.75
19.22,25.03,1764.29,0.92,413.59
56.82,60.64,1784.17,0.78,114.03
86.08,107.21,8848.7,0.95,246.46
65.94,81.37,5937.53,0.95,403.99
75.27,97.07,6654.07,0.9,264.26
58.6,71.43,1670.02,0.95,425.12
84.48,105.73,1988.46,0.76,253.53
78.32,96.36,3832.74,0.78,129.73
25.79,27.76,2249.22,0.92,133.54
21.74,26.29,286.26,0.84,464.0
28.59,37.92,2845.03,0.78,155.91
77.33,113.19,5289.45,0.77,259.47
45.68,51.06,2548.66,0.9,369.3
23.19,29.36,561.55,0.8,77.18
47.63,57.15,2080.37,0.89,150.0
53.23,63.5,4381.39,0.77,186.2
23.83,26.84,1582.48,0.94,185.34
54.5,65.49,3468.85,0.92,467.82
88.69,98.5,6295.62,0.97,319.34
77.2,102.82,4023.61,0.81,223.69
51.32,61.38,3293.91,0.8,418.7
3.18,4.34,201.25,0.85,33.42
40.52,52.29,4294.86,0.94,371.03
19.11,27.63,1016.86,0.77,386.28
66.26,83.05,844.62,0.97,243.44
17.75,23.9,740.47,0.78,87.4
33.68,37.55,2960.2,0.96,116.93
86.45,104.67,1352.27,0.89,131.49
43.71,53.14,4165.68,0.77,214.74
53.83,63.24,3071.14,0.78,208.93
8.15,10.24,618.08,0.83,385.48
41.32,50.21,4021.54,0.98,235.13
12.49,14.14,1046.32,0.79,80.29
44.13,50.43,4209.52,0.88,93.38
75.46,87.05,4929.4,0.86,297.88
30.01,35.54,3022.49,0.8,369.91
9.62,13.66,543.46,0.78,32.12
59.34,70.8,4031.39,0.91,441.95
15.38,17.94,704.23,0.93,279.39
22.43,30.34,570.44,0.89,67.16
14.93,18.29,412.27,0.85,269.85
34.21,39.28,925.11,0.78,394.61
82.5,95.73,2062.6,0.97,434.77
12.16,14.93,533.99,0.91,51.78
42.13,50.44,4508.19,0.84,304.14
42.12,55.98,861.66,0.89,106.93
89.43,99.46,2325.4,0.91,76.28
27.9,37.45,1727.24,0.98,60.64
90.62,105.9,7857.25,0.97,286.53
72.07,94.66,3185.89,0.96,416.03
12.53,17.29,833.29,0.87,59.96
40.11,42.65,1047.64,0.76,182.51
21.47,26.08,885.85,0.93,96.65
77.86,90.96,7047.81,0.86,450.02
52.73,59.43,3786.82,0.86,373.93
69.17,89.98,5933.75,0.95,430.08
42.44,55.48,3301.8,0.91,331.79
28.59,35.51,662.44,0.9,220.98
52.41,69.56,5355.52,0.97,242.05
17.01,21.16,1213.43,0.84,182.58
55.03,70.0,5358.69,0.96,35.86
22.5,31.04,1088.81,0.98,16.87
13.16,17.95,491.31,0.87,15.34
46.12,56.83,1455.72,0.84,79.28
50.61,61.18,4995.43,0.95,128.17
24.37,28.26,898.41,0.93,194.77
30.44,36.49,3158.94,0.8,467.6
37.23,37.49,3463.46,0.84,46.64
71.23,81.28,786.4,0.76,266.05
19.88,22.3,438.42,0.77,466.88
67.75,80.44,4342.25,0.87,331.88
44.56,61.08,4089.48,0.79,138.61
9.55,11.63,295.82,0.96,334.16
54.89,75.92,1579.07,0.91,441.01
30.53,36.1,664.88,0.85,280.26
14.25,16.75,1445.06,0.93,471.37
5.58,7.11,202.53,0.79,221.19
85.37,102.07,2629.33,0.8,390.53
57.11,69.23,3303.76,0.98,284.92
8.04,10.33,908.5,0.92,281.95
90.72,103.91,1792.28,0.78,170.0
62.07,72.83,2656.65,0.75,322.79
45.71,48.09,1972.75,0.8,445.67
96.59,100.71,9973.77,0.86,159.14
34.28,37.44,2512.24,0.77,60.75
3.37,4.32,200.81,0.75,354.65
72.43,83.39,1626.13,0.79,363.2
61.67,73.84,5365.66,0.77,192.9
5.04,5.3,346.41,0.76,110.94
81.53,103.64,3873.71,0.78,443.86
80.84,97.61,4983.27,0.9,57.76
6.37,7.98,499.61,0.95,62.14
29.61,39.9,1801.95,0.93,413.32
60.95,88.16,762.43,0.92,16.61
14.43,18.1,1347.51,0.91,97.23
41.95,52.67,1727.82,0.95,167.91
66.62,83.51,4067.19,0.78,176.93
88.3,92.91,7540.59,0.79,235.46
38.98,55.92,2575.96,0.75,342.61
30.7,34.28,1354.59,0.77,183.22
43.73,58.62,2942.84,0.89,26.59
38.7,42.77,2986.93,0.75,413.42
16.55,21.8,1675.37,0.86,43.49
60.66,80.72,6318.58,0.77,384.56
59.58,81.13,2309.82,0.76,15.01
3.72,5.45,252.79,0.97,26.65
60.14,69.43,2053.66,0.82,281.13
44.8,51.72,2065.98,0.76,20.98
69.25,73.01,1059.72,0.8,452.78
18.28,19.84,1136.48,0.9,317.14
70.34,94.93,1681.85,0.8,318.47
18.54,27.42,1360.91,0.88,339.75
27.45,32.45,743.2,0.96,82.35
47.58,53.98,1997.58,0.77,481.53
73.19,87.0,3651.48,0.75,424.23
5.78,6.98,236.84,0.77,266.27
40.25,43.42,1506.64,0.83,316.88
49.78,62.14,576.59,0.89,300.44
67.31,89.73,4399.2,0.78,431.57
75.06,102.69,8677.38,0.92,144.9
91.8,106.95,7299.69,0.95,290.23
62.18,68.75,1400.36,0.98,156.71
18.24,20.31,1232.3,0.94,407.59
14.55,16.27,503.24,0.93,339.34
45.35,58.13,3204.48,0.93,194.42
15.43,20.67,1900.97,0.96,483.45
12.76,14.5,330.65,0.97,411.68
88.52,102.87,4017.55,0.83,195.35
29.04,31.91,1098.33,0.88,314.74
37.07,43.75,2301.7,0.78,62.79
76.28,105.26,5808.16,0.82,93.95
30.4,39.04,774.69,0.81,99.23
64.06,92.65,6682.4,0.75,158.4
53.66,68.53,915.22,0.84,481.95
80.73,90.58,5875.07,0.77,159.05
4.8,5.5,450.09,0.81,416.18
51.65,66.18,2727.66,0.87,223.2
58.75,65.73,3464.15,0.93,277.81
15.9,20.78,678.13,0.98,161.8
15.48,22.11,321.6,0.9,36.73
49.56,61.75,2368.35,0.97,181.92
62.74,73.52,4032.43,0.83,499.54
75.49,96.4,8167.33,0.78,463.02
25.91,28.4,2441.09,0.83,282.37
34.56,35.96,1892.29,0.88,348.62
43.23,55.57,3824.65,0.98,111.7
85.07,107.74,7701.34,0.85,444.82
7.86,9.24,326.56,0.92,307.94
61.41,68.54,804.27,0.75,124.77
43.4,52.49,3500.43,0.78,149.51
47.25,55.84,3270.54,0.76,302.46
86.38,102.83,9465.59,0.79,384.19
12.81,14.04,754.29,0.83,213.99
55.13,65.03,3404.68,0.9,88.72
70.12,96.54,3796.8,0.84,352.93
58.27,84.08,4992.41,0.8,265.29
4.78,6.3,408.6,0.76,417.23
91.14,108.67,3614.57,0.81,306.23
15.25,16.71,970.4,0.88,41.9
42.91,48.78,2958.8,0.87,499.72
53.97,61.37,1977.46,0.91,163.93
87.46,113.88,6399.31,0.76,364.68
41.42,56.44,1683.2,0.9,313.42
62.07,79.46,5748.16,0.95,393.41
18.62,21.55,1245.65,0.89,70.18
70.75,97.28,3355.15,0.86,184.34
6.18,7.98,433.87,0.84,108.05
44.28,52.89,1505.73,0.79,459.72
2.91,3.63,164.28,0.84,473.73
45.75,55.06,984.28,0.85,439.81
64.8,70.59,3649.37,0.83,292.42
56.15,66.91,3502.95,0.78,74.81
9.23,12.87,808.16,0.92,486.9
41.13,55.72,4168.07,0.87,181.06
42.46,58.55,3692.59,0.94,169.72
64.28,72.86,665.5,0.83,378.14
56.68,67.97,4066.63,0.78,57.15
36.16,48.1,4140.12,0.85,78.9
40.1,55.47,2363.42,0.83,50.18
53.61,55.98,3694.77,0.85,285.8
75.79,103.05,8475.13,0.76,170.32
91.3,109.23,8695.87,0.92,11.25
18.01,23.0,859.76,0.91,345.78
21.34,26.15,1702.88,0.83,31.37
24.64,27.17,1249.71,0.86,366.18
75.68,93.13,3620.8,0.96,91.07
89.34,105.69,8780.77,0.96,232.7
47.51,64.99,3298.38,0.86,385.41
71.46,85.97,4465.34,0.94,50.74
21.82,29.79,1601.17,0.87,471.21
68.2,98.18,1510.49,0.93,98.84
18.5,22.33,794.42,0.87,358.51
56.74,60.28,2777.07,0.94,353.43
36.39,47.66,3469.92,0.75,115.61
77.59,88.97,1758.11,0.77,251.29
36.04,44.92,635.61,0.91,258.11
83.81,102.05,6132.09,0.97,73.43
81.94,104.35,4272.23,0.97,286.28
9.14,12.8,572.17,0.87,276.61
47.04,54.54,3639.4,0.77,189.5
26.63,29.67,1998.78,0.85,138.56
84.44,97.65,7140.51,0.77,183.81
15.22,17.52,1030.04,0.81,116.65
74.72,87.44,2470.99,0.77,166.56
23.68,28.04,377.72,0.94,489.8
74.78,100.45,2818.18,0.92,342.03
27.71,29.85,768.33,0.85,317.07
80.93,95.61,8158.49,0.96,187.89
71.81,83.24,6505.79,0.92,362.51
28.61,38.5,2372.8,0.97,85.96
72.04,93.43,5531.79,0.8,199.46
55.72,79.57,2083.24,0.92,214.74
73.17,82.39,5166.66,0.75,389.11
41.58,52.23,4704.09,0.76,202.06
46.65,62.59,3644.83,0.97,302.41
39.08,41.21,2766.79,0.92,104.2
72.38,91.39,1971.77,0.86,454.2
44.97,63.85,675.48,0.95,356.29
24.82,35.92,948.21,0.8,385.91
53.3,72.97,6597.21,0.82,247.5
38.31,52.34,3870.73,0.87,181.87
32.33,44.63,2189.22,0.94,116.97
49.49,52.48,3776.44,0.75,152.89
82.0,96.2,4177.45,0.95,347.95
22.42,25.69,1574.93,0.91,450.89
22.4,29.35,2484.63,0.93,306.4
4.07,4.42,142.63,0.83,461.62
74.2,94.17,4859.57,0.9,491.52
89.99,98.38,4037.67,0.82,174.16
68.52,75.62,1709.33,0.96,468.71
11.45,13.8,1178.74,0.96,389.57
67.75,80.32,2902.33,0.83,418.41
53.36,71.92,2460.8,0.91,171.31
53.42,63.41,2975.64,0.88,177.3
42.31,52.52,3691.01,0.86,434.58
60.54,85.52,7460.99,0.81,480.92
13.72,16.95,612.9,0.81,201.34
56.11,69.87,935.93,0.87,15.35
88.63,103.68,5935.6,0.91,286.84
90.97,100.01,9612.61,0.87,110.39
84.07,106.62,3940.7,0.78,380.58
50.07,65.99,5111.8,0.89,361.44
86.45,95.74,3545.21,0.85,124.31
27.97,31.57,2968.09,0.96,33.94
12.84,16.22,704.19,0.83,309.82
76.31,84.1,7515.7,0.75,438.56
74.17,79.85,2862.94,0.91,98.23
81.01,98.59,4674.01,0.86,383.9
45.93,56.3,1244.56,0.87,160.73
61.04,80.05,3455.23,0.94,127.56
81.92,95.83,6810.62,0.78,466.83
15.9,19.97,1360.63,0.82,213.39
9.85,10.22,703.23,0.85,182.91
76.1,107.05,3849.04,0.86,96.06
20.17,25.22,1174.68,0.78,457.72
73.21,95.53,7225.56,0.97,447.57
42.73,50.86,664.62,0.82,247.3
6.34,7.15,340.5,0.95,139.92
90.01,108.61,8796.46,0.83,173.28
29.37,29.88,2123.72,0.88,246.99
60.02,76.75,2833.22,0.94,262.58
52.32,57.24,1765.66,0.8,350.55
26.02,34.84,1013.3,0.83,382.26
43.54,48.31,1965.63,0.9,15.08
99.34,109.49,2492.26,0.94,221.29
83.15,96.58,4649.26,0.91,333.59
22.01,25.71,1789.82,0.79,316.45
81.95,105.41,3760.83,0.78,213.79
24.5,30.62,644.68,0.85,414.5
59.43,63.96,5124.14,0.96,231.21
76.18,82.71,6810.3,0.77,56.34
16.09,20.55,946.65,0.81,135.94
68.46,81.3,3230.69,0.85,99.0
42.94,46.56,2367.4,0.79,140.69
79.92,101.16,7306.0,0.93,183.54
65.31,72.23,6904.25,0.76,295.45
78.36,98.39,3567.85,0.82,488.78
25.67,30.61,401.0,0.93,158.77
12.71,18.51,1125.67,0.95,271.83
91.56,99.1,2553.04,0.88,382.13
41.28,52.0,1401.36,0.96,436.45
81.34,87.96,5251.78,0.76,311.47
11.25,12.66,1004.37,0.8,38.56
13.16,15.63,688.39,0.96,45.97
21.09,26.34,1065.61,0.96,368.0
88.94,103.71,6489.75,0.76,254.88
62.68,82.46,6089.1,0.88,282.06
69.54,88.47,6782.04,0.87,450.41
64.67,88.04,4832.84,0.93,460.38
17.79,23.92,818.82,0.81,64.64
27.5,37.64,1182.1,0.91,35.4
66.72,69.36,3496.16,0.9,196.61
42.28,54.49,2902.61,0.83,235.67
30.93,39.38,2328.38,0.89,243.01
45.92,52.34,1396.37,0.79,375.0
56.46,71.27,3049.17,0.84,257.57
44.36,51.18,4463.08,0.98,473.47
79.84,98.41,4548.63,0.75,324.96
71.57,86.57,1090.49,0.75,378.18
5.93,7.89,707.89,0.93,161.25
90.13,106.08,3150.18,0.76,66.2
31.49,39.94,1151.61,0.9,300.71
20.56,24.46,1799.78,0.78,11.58
30.12,37.01,3214.37,0.84,214.09
15.84,18.81,1475.53,0.96,258.2
16.15,20.39,1329.37,0.87,247.65
22.83,25.51,2223.96,0.8,258.89
69.95,88.29,6474.47,0.88,392.65
13.2,14.36,1410.03,0.94,237.55
81.4,113.21,9012.4,0.9,114.41
20.44,25.94,1658.86,0.76,422.13
15.78,21.06,1734.4,0.8,45.29
18.77,24.97,1709.89,0.84,455.16
89.7,110.77,1212.82,0.79,123.14
27.33,32.81,2017.58,0.91,472.57
52.97,76.6,3792.68,0.92,309.07
53.3,59.56,4107.97,0.77,21.35
26.54,30.92,463.68,0.86,121.72
38.76,45.69,2499.63,0.75,318.87
8.53,10.06,994.56,0.81,313.61
57.73,77.53,3412.57,0.79,165.23
67.21,86.82,6236.78,0.86,308.18
29.89,37.64,1471.29,0.83,178.39
53.84,75.37,777.17,0.8,148.76
18.71,23.01,1004.57,0.86,284.46
53.92,63.44,5211.08,0.93,82.09
59.89,62.63,2421.35,0.97,118.28
40.64,46.28,624.3,0.8,62.48
37.58,43.82,2541.48,0.91,189.07
68.27,74.94,3117.11,0.86,470.71
67.62,93.91,7637.49,0.76,134.07
81.76,95.08,8258.83,0.75,246.78
3.77,4.31,159.55,0.8,28.53
80.96,103.93,8482.28,0.8,234.1
41.48,46.38,1891.06,0.97,55.27
98.17,100.52,5151.15,0.81,82.85
61.92,71.18,5165.69,0.79,170.09
34.4,40.98,1646.1,0.78,244.65
21.23,29.1,717.2,0.9,492.41
14.17,19.56,561.1,0.81,56.86
81.68,101.12,1764.67,0.84,338.66
7.4,9.01,533.45,0.92,311.62
56.46,73.65,3097.94,0.82,60.24
33.33,45.89,2059.78,0.85,208.41
22.48,28.38,980.62,0.93,372.53
62.14,75.87,1265.77,0.86,42.33
61.91,90.45,3492.59,0.97,462.29
89.48,99.33,6866.67,0.85,318.64
66.03,82.1,5901.37,0.84,145.41
23.59,30.82,1089.07,0.84,147.61
45.88,54.25,4795.24,0.81,381.49
56.07,77.42,6414.26,0.78,81.64
76.62,108.43,8498.11,0.83,64.02
41.59,49.59,2297.03,0.93,40.34
38.5,52.9,1574.46,0.76,157.1
20.15,23.74,2117.48,0.77,398.25
93.48,100.4,5451.73,0.86,499.02
5.16,5.79,276.39,0.88,343.12
36.11,47.67,1450.79,0.8,157.47
31.37,43.51,3537.7,0.92,47.25
5.85,7.31,196.01,0.97,497.17
84.26,100.76,1874.9,0.91,222.95
56.98,70.67,4836.5,0.89,370.25
81.09,107.04,7146.03,0.87,229.8
33.28,39.88,1129.48,0.96,231.36
7.86,9.1,110.79,0.9,26.52
23.77,28.78,497.55,0.95,383.93
19.34,25.69,1843.11,0.85,145.4
12.69,15.9,1096.85,0.86,380.3
61.44,71.4,691.44,0.97,53.5
49.77,66.67,2206.28,0.82,32.19
58.78,74.86,3921.38,0.78,309.54
55.56,65.15,1127.84,0.81,138.64
13.57,15.24,1042.45,0.91,181.18
3.47,4.13,278.45,0.9,436.7
14.96,18.48,1479.26,0.97,140.06
69.01,82.48,5485.58,0.83,287.44
18.68,20.53,1286.58,0.82,323.7
32.09,37.1,1035.29,0.92,193.35
70.6,74.69,4976.03,0.95,360.57
87.96,91.56,4237.01,0.86,325.3
7.66,10.36,267.58,0.93,288.31
62.22,73.44,1509.78,0.8,44.91
55.88,76.32,1248.16,0.89,335.75
40.97,58.59,2828.94,0.91,238.45
49.84,56.99,2449.79,0.88,481.87
95.27,102.88,4714.73,0.96,405.71
25.05,32.93,2796.82,0.75,196.59
31.16,35.24,2114.94,0.97,339.74
37.5,44.26,630.93,0.82,188.3
30.47,40.63,572.58,0.96,358.56
38.71,55.41,3126.64,0.77,226.7
14.33,19.16,702.51,0.97,74.02
76.63,95.26,5106.99,0.96,160.53
59.91,68.35,5824.65,0.86,181.17
56.51,73.52,2046.21,0.89,110.6
21.43,30.51,1558.87,0.97,149.49
58.74,76.17,1175.81,0.82,362.49
83.28,98.35,6244.56,0.97,295.86
43.2,56.41,2624.84,0.84,245.98
12.72,16.55,1212.62,0.97,336.87
