time,V(1),V(2),V(3),V(gate),I(C1),I(D1),I(L1),I(Rload),I(S1),I(Vgate),I(Vin),L1:flux,source_file,step,I(R1)
0.0,12.0,1.091838,23.999,0.0,-0.99995834,-1.0229151e-09,1.0908162e-06,0.99995834,-1.0918391e-06,0.0,-1.0908162e-06,0.0,morecomplex,0,
9.9999998245167e-14,12.0,1.1901096,24.0,5e-05,-1.0,-1.0228263e-09,1.1890879e-06,1.0,-1.1901108e-06,0.0,-1.1890879e-06,1.080989e-12,morecomplex,0,
1.99999996490334e-13,12.0,1.2874959,24.0,1e-04,-1.0,-1.0227152e-09,1.2864743e-06,1.0,-1.2874971e-06,0.0,-1.2864743e-06,2.1522393e-12,morecomplex,0,
3.99999992980668e-13,12.0,1.4805136,24.0,0.0002,-1.0,-1.0225154e-09,1.4794925e-06,1.0,-1.480515e-06,0.0,-1.4794925e-06,4.2754385e-12,morecomplex,0,
7.99999985961336e-13,12.0,1.8562088,24.0,0.0004,-1.0,-1.0221823e-09,1.8551885e-06,1.0,-1.8562107e-06,0.0,-1.8551885e-06,8.408094e-12,morecomplex,0,
1.599999971922672e-12,12.0,2.5680525,24.0,0.0008,-0.99999905,-1.0214496e-09,2.5670336e-06,1.0,-2.5680552e-06,0.0,-2.5670336e-06,1.6238389e-11,morecomplex,0,
3.199999943845344e-12,12.0,3.8469584,24.0,0.0016,-1.0000005,-1.0201617e-09,3.845942e-06,1.0,-3.8469625e-06,0.0,-3.845942e-06,3.030638e-11,morecomplex,0,
6.399999887690688e-12,12.0,5.9175687,24.0,0.0032,-1.0000002,-1.0180301e-09,5.916557e-06,1.0,-5.9175745e-06,0.0,-5.916557e-06,5.3083135e-11,morecomplex,0,
1.2219501781233512e-11,12.0,8.462307,24.0,0.006109751,-0.9999999,-1.0155432e-09,8.461299e-06,1.0,-8.462315e-06,0.0,-8.461299e-06,8.10753e-11,morecomplex,0,
1.8396696102516408e-11,12.0,10.013418,24.0,0.009198348,-1.0,-1.0139445e-09,1.0012414e-05,1.0,-1.0013428e-05,0.0,-1.0012414e-05,9.813756e-11,morecomplex,0,
2.6646032066443674e-11,12.0,11.096944,24.0,0.013323016,-1.0,-1.0128787e-09,1.1095942e-05,1.0,-1.1096954e-05,0.0,-1.1095942e-05,1.1005636e-10,morecomplex,0,
3.5682039307083236e-11,12.0,11.622786,24.0,0.017841019,-0.99999994,-1.0123458e-09,1.1621784e-05,1.0,-1.1622797e-05,0.0,-1.1621784e-05,1.1584063e-10,morecomplex,0,
4.8381747723403366e-11,12.0,11.898898,24.0,0.024190875,-0.99999994,-1.0123458e-09,1.1897898e-05,1.0,-1.189891e-05,0.0,-1.1897898e-05,1.1887788e-10,morecomplex,0,
6.386346827878389e-11,12.0,11.982418,24.0,0.031931736,-0.99999994,-1.0121681e-09,1.1981418e-05,1.0,-1.198243e-05,0.0,-1.1981418e-05,1.1979659e-10,morecomplex,0,
8.779598833950466e-11,12.0,12.00074,24.0,0.043897994,-1.0,-1.0121681e-09,1.1999739e-05,0.99999994,-1.2000752e-05,0.0,-1.1999739e-05,1.1999814e-10,morecomplex,0,
1.2290118093734013e-10,12.0,11.99983,23.999998,0.06145059,-0.99999994,-1.0121681e-09,1.199883e-05,0.99999994,-1.1999842e-05,0.0,-1.199883e-05,1.1998813e-10,morecomplex,0,
1.9311156613301106e-10,12.0,12.000089,23.999998,0.096555784,-0.99999994,-1.0119905e-09,1.1999089e-05,0.99999994,-1.20001005e-05,0.0,-1.1999089e-05,1.1999098e-10,morecomplex,0,
3.335323365243529e-10,12.0,11.999935,23.999996,0.16676617,-0.9999999,-1.0121681e-09,1.1998935e-05,0.9999999,-1.1999948e-05,0.0,-1.1998935e-05,1.1998928e-10,morecomplex,0,
6.143738773070365e-10,12.0,12.000055,23.999994,0.30718693,-0.99999976,-1.0119905e-09,1.19990555e-05,0.99999976,-1.2000068e-05,0.0,-1.19990555e-05,1.199906e-10,morecomplex,0,
1.1760569588724038e-09,12.0,11.9999485,23.999989,0.5880285,-0.9999995,-1.0121681e-09,1.1998949e-05,0.9999995,-1.199996e-05,0.0,-1.1998949e-05,1.1998944e-10,morecomplex,0,
2.2994231220031388e-09,12.0,12.00005,23.999977,1.1497116,-0.99999905,-1.0121681e-09,1.1999049e-05,0.99999905,-1.2000061e-05,0.0,-1.1999049e-05,1.1999055e-10,morecomplex,0,
4.546155448264609e-09,12.0,11.999951,23.999954,2.2730777,-0.9999981,-1.0119905e-09,1.1998952e-05,0.9999981,-1.1999964e-05,0.0,-1.1998952e-05,1.1998946e-10,morecomplex,0,
5.7719706936422825e-09,12.0,12.000047,23.999943,2.8859854,-0.9999976,-1.0121681e-09,1.1999046e-05,0.9999976,-1.2000059e-05,0.0,-1.1999046e-05,1.1999052e-10,morecomplex,0,
6.184651762348541e-09,12.0,2.608077e-06,23.999939,3.092326,-0.99999744,-1.0239999e-09,0.00026080667,0.99999744,-0.0002608077,0.0,-0.00026080667,2.5960667e-09,morecomplex,0,
6.584884510317497e-09,12.0,7.4108675e-06,23.999933,3.2924423,-0.99999726,-1.0239999e-09,0.00074108574,0.99999726,-0.0007410868,0.0,-0.00074108574,7.3988575e-09,morecomplex,0,
6.923525756817689e-09,12.0,1.1474559e-05,23.999931,3.461763,-0.99999714,-1.0239999e-09,0.0011474548,0.99999714,-0.0011474559,0.0,-0.0011474548,1.1462549e-08,morecomplex,0,
7.279537552829818e-09,12.0,1.5746695e-05,23.999928,3.6397688,-0.99999696,-1.0239999e-09,0.0015746686,0.99999696,-0.0015746695,0.0,-0.0015746686,1.5734685e-08,morecomplex,0,
7.991561144854078e-09,12.0,2.4290963e-05,23.99992,3.9957805,-0.99999666,-1.0239999e-09,0.0024290953,0.99999666,-0.0024290963,0.0,-0.0024290953,2.4278952e-08,morecomplex,0,
9.415608328902596e-09,12.0,4.1379477e-05,23.999907,4.707804,-0.99999607,-1.0239999e-09,0.0041379468,0.99999607,-0.0041379477,0.0,-0.0041379468,4.1367468e-08,morecomplex,0,
1e-08,12.0,4.839215e-05,23.9999,5.0,-0.9999958,-1.0239999e-09,0.004839214,0.9999958,-0.004839215,0.0,-0.004839214,4.8380137e-08,morecomplex,0,
1.2263702696999633e-08,12.0,7.5556425e-05,23.999878,5.0,-0.9999949,-1.0239998e-09,0.0075556417,0.9999949,-0.0075556426,0.0,-0.0075556417,7.554441e-08,morecomplex,0,
1.67911080909989e-08,12.0,0.00012988478,23.999832,5.0,-0.999993,-1.0239997e-09,0.012988477,0.999993,-0.012988478,0.0,-0.012988477,1.2987277e-07,morecomplex,0,
2.5845918878997435e-08,12.0,0.00023854067,23.99974,5.0,-0.9999892,-1.0239996e-09,0.023854066,0.9999892,-0.023854068,0.0,-0.023854066,2.3852866e-07,morecomplex,0,
3.584591887899744e-08,12.0,0.0003585374,23.999641,5.0,-0.99998504,-1.0239993e-09,0.03585374,0.99998504,-0.03585374,0.0,-0.03585374,3.5852537e-07,morecomplex,0,
4.5845918878997436e-08,12.0,0.00047853278,23.999542,5.0,-0.9999809,-1.0239991e-09,0.047853276,0.9999809,-0.04785328,0.0,-0.047853276,4.785208e-07,morecomplex,0,
5.584591887899743e-08,12.0,0.00059852685,23.999441,5.0,-0.99997675,-1.0239989e-09,0.059852686,0.99997675,-0.059852686,0.0,-0.059852686,5.985149e-07,morecomplex,0,
6.584591887899743e-08,12.0,0.0007185196,23.999342,5.0,-0.9999726,-1.0239987e-09,0.07185196,0.9999726,-0.07185196,0.0,-0.07185196,7.1850764e-07,morecomplex,0,
7.584591887899743e-08,12.0,0.00083851104,23.99924,5.0,-0.9999684,-1.0239984e-09,0.08385111,0.9999684,-0.08385111,0.0,-0.08385111,8.3849903e-07,morecomplex,0,
8.584591887899742e-08,12.0,0.0009585012,23.999142,5.0,-0.99996424,-1.0239982e-09,0.09585012,0.99996424,-0.09585012,0.0,-0.09585012,9.584892e-07,morecomplex,0,
9.584591887899742e-08,12.0,0.0010784899,23.999043,5.0,-0.99996006,-1.023998e-09,0.107848994,0.99996006,-0.107848994,0.0,-0.107848994,1.0784779e-06,morecomplex,0,
1.0584591887899742e-07,12.0,0.0011984775,23.998941,5.0,-0.9999559,-1.0239978e-09,0.119847745,0.9999559,-0.119847745,0.0,-0.119847745,1.1984654e-06,morecomplex,0,
1.1584591887899741e-07,12.0,0.0013184636,23.998842,5.0,-0.9999517,-1.0239976e-09,0.13184635,0.9999517,-0.13184635,0.0,-0.13184635,1.3184516e-06,morecomplex,0,
